Name,Coin 1,Coin 2,Digit to round,Min Price,Max Price,Price Increment,Amount Format in Market data book,Default Min Order Amount,Default Max Order Amount,Amount Increment
LRC/USD,LRC,USD,#.00000,0.01,999,0.00001,#.00,10,2400000,10
LTC/EUR,LTC,EUR,#.0000,0.01,9999,0.0001,#.00,0.01,320000,0.01
LTC/USD,LTC,USD,#.0000,0.01,9999,0.0001,#.00,0.01,320000,0.01
LUNA2/EUR,LUNA2,EUR,#.000000,0.001,999,0.000001,#.,1,60000000,1
LUNA2/USD,LUNA2,USD,#.000000,0.001,999,0.000001,#.,1,60000000,1
MANA/EUR,MANA,EUR,#.000000,0.001,999,0.000001,#.,10,60000000,10
MANA/USD,MANA,USD,#.000000,0.001,999,0.000001,#.,10,60000000,10
MATIC/USD,MATIC,USD,#.00000,0.01,999,0.00001,#.00,1,2400000,1
MATIC/USDC,MATIC,USDC,#.00000,0.01,999,0.00001,#.00,10000000,24000000000,10000000
MATIC/USDT,MATIC,USDT,#.00000,0.01,999,0.00001,#.00,10000000,240000000,10000000
MKR/EUR,MKR,EUR,#.00,10,99999,0.01,#.0000,0.001,1700000,0.001
MKR/USD,MKR,USD,#.00,10,99999,0.01,#.0000,0.001,1700000,0.001
OGN/EUR,OGN,EUR,#.000000,0.001,999,0.000001,#.,10,60000000,10
OGN/USD,OGN,USD,#.000000,0.001,999,0.000001,#.,10,60000000,10
OXT/EUR,OXT,EUR,#.000000,0.001,999,0.000001,#.,10,60000000,10
OXT/USD,OXT,USD,#.000000,0.001,999,0.000001,#.,10,60000000,10
POL/EUR,POL,EUR,#.00000,0.01,999,0.00001,#.00,1,2400000,1
POL/USD,POL,USD,#.00000,0.01,999,0.00001,#.00,1,2400000,1
QNT/EUR,QNT,EUR,#.000,0.01,999,0.0001,#.00,0.01,1500000,0.01
QNT/USD,QNT,USD,#.000,0.01,999,0.0001,#.00,0.01,1500000,0.01
REN/EUR,REN,EUR,#.000000,0.001,999,0.000001,#.,10,60000000,10
REN/USD,REN,USD,#.000000,0.001,999,0.000001,#.,10,60000000,10
SAND/EUR,SAND,EUR,#.00000,0.01,999,0.00001,#.00,10,2400000,10
SAND/USD,SAND,USD,#.00000,0.01,999,0.00001,#.00,10,2400000,10
SGB/EUR,SGB,EUR,#.000000,0.001,999,0.000001,#.,100,60000000,100
SGB/USD,SGB,USD,#.000000,0.001,999,0.000001,#.,100,60000000,100
SHIB/EUR,SHIB,EUR,#.00000000,0.0000001,0.0009,0.000000001,#.,100000,90000000000,100000
SHIB/USD,SHIB,USD,#.00000000,0.0000001,0.0009,0.000000001,#.,100000,90000000000,100000
SKL/EUR,SKL,EUR,#.000000,0.001,999,0.000001,#.,10,60000000,10
SKL/USD,SKL,USD,#.000000,0.001,999,0.000001,#.,10,60000000,10
SNX/EUR,SNX,EUR,#.0000,0.01,999,0.0001,#.00,1,2000000,1
SNX/USD,SNX,USD,#.0000,0.01,999,0.0001,#.00,1,2000000,1
SOL/EUR,SOL,EUR,#.000,0.01,999,0.0001,#.00,0.01,1500000,0.01
SOL/USD,SOL,USD,#.000,0.01,999,0.0001,#.00,0.01,1500000,0.01
SOL/USDC,SOL,USDC,#.000,0.01,999,0.0001,#.00,0.01,1500000,0.01
SOL/USDT,SOL,USDT,#.000,0.01,999,0.0001,#.00,0.01,1500000,0.01
SRM/EUR,SRM,EUR,#.000000,0.001,999,0.000001,#.,1,60000000,1
SRM/USD,SRM,USD,#.000000,0.001,999,0.000001,#.,1,60000000,1
STORJ/EUR,STORJ,EUR,#.00000,0.01,999,0.00001,#.00,1,2400000,1
STORJ/USD,STORJ,USD,#.00000,0.01,999,0.00001,#.00,1,2400000,1
SUSHI/EUR,SUSHI,EUR,#.00000,0.01,999,0.00001,#.00,1,2400000,1
SUSHI/USD,SUSHI,USD,#.00000,0.01,999,0.00001,#.00,1,2400000,1
TRX/EUR,TRX,EUR,#.00000,0.01,999,0.00001,#.00,10,2400000,10
TRX/USD,TRX,USD,#.00000,0.01,999,0.00001,#.00,10,2400000,10
UMA/EUR,UMA,EUR,#.0000,0.01,999,0.0001,#.00,1,2000000,1
UMA/USD,UMA,USD,#.0000,0.01,999,0.0001,#.00,1,2000000,1
UNI/EUR,UNI,EUR,#.0000,0.01,999,0.0001,#.00,0.1,2000000,0.1
UNI/USD,UNI,USD,#.0000,0.01,999,0.0001,#.00,0.1,2000000,0.1
USDC/CHF,USDC,CHF,#.000000,0.1,9,0.00001,#.00,1,99000000,1
USDC/EUR,USDC,EUR,#.000000,0.1,9,0.00001,#.00,1,99000000,1
USDC/USD,USDC,USD,#.000000,0.1,9,0.00001,#.00,1,99000000,1
USDT/CHF,USDT,CHF,#.000000,0.1,9,0.00001,#.00,1,99000000,1
USDT/EUR,USDT,EUR,#.000000,0.1,9,0.00001,#.,1,99000000,1
USDT/USD,USDT,USD,#.000000,0.1,9,0.00001,#.,1,99000000,1
XLM/EUR,XLM,EUR,#.00000,0.01,999,0.00001,#.00,10,50000000,10
XLM/USD,XLM,USD,#.00000,0.01,999,0.00001,#.00,10,50000000,10
XRP/EUR,XRP,EUR,#.00000,0.01,999,0.00001,#.00,1,50000000,1
XRP/USD,XRP,USD,#.00000,0.01,999,0.00001,#.00,1,50000000,1
XTZ/EUR,XTZ,EUR,#.00000,0.01,999,0.00001,#.00,1,50000000,1
XTZ/USD,XTZ,USD,#.00000,0.01,999,0.00001,#.00,1,50000000,1
YFI/EUR,YFI,EUR,#.00,10,99999,0.01,#.0000,0.0001,17000,0.0001
YFI/USD,YFI,USD,#.00,10,99999,0.01,#.0000,0.0001,17000,0.0001
ZEC/EUR,ZEC,EUR,#.000,0.01,999,0.0001,#.00,0.1,1500000,0.1
ZEC/USD,ZEC,USD,#.000,0.01,999,0.0001,#.00,0.1,1500000,0.1
ZRX/EUR,ZRX,EUR,#.00000,0.01,999,0.00001,#.00,1,2400000,1
ZRX/USD,ZRX,USD,#.00000,0.01,999,0.00001,#.00,1,2400000,1
