"Name","Coin 1","Coin 2","Digit to round","Min Price","Max Price","Price Increment","Amount Format in Market data book","Default Min Order Amount","Default Max Order Amount","Amount Increment"
GALA/EUR,GALA,EUR,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
GALA/USD,GALA,USD,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
GRT/EUR,GRT,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
GRT/USD,GRT,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
HBAR/EUR,HBAR,EUR,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
HBAR/USD,HBAR,USD,#.000000,0.001,999.0,0.000001,#.,1000.0,60000000,10.0
IMX/EUR,IMX,EUR,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
IMX/USD,IMX,USD,#.0000,0.01,999.0,0.0001,#.00,100.0,2000000.0,1.0
IOTA/EUR,IOTA,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
IOTA/USD,IOTA,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
KNC/EUR,KNC,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
KNC/USD,KNC,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
LINK/EUR,LINK,EUR,#.000,0.1,999.0,0.001,#.00,0.1,200000.0,0.1
LINK/USD,LINK,USD,#.000,0.1,999.0,0.001,#.00,0.1,200000.0,0.1
LINK/USDC,LINK,USDC,#.000,0.1,999.0,0.001,#.00,0.1,200000.0,0.1
LINK/USDT,LINK,USDT,#.000,0.1,999.0,0.001,#.00,0.1,200000.0,0.1
LPT/EUR,LPT,EUR,#.000,0.01,999.0,0.0001,#.00,1.0,1500000.0,1.0
LPT/USD,LPT,USD,#.000,0.01,999.0,0.0001,#.00,1.0,1500000.0,1.0
LRC/EUR,LRC,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
LRC/USD,LRC,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
LTC/EUR,LTC,EUR,#.0000,0.01,9999.0,0.0001,#.00,10.0,320000.0,1.0
LTC/USD,LTC,USD,#.0000,0.01,9999.0,0.0001,#.00,10.0,320000.0,1.0
LTC/USDC,LTC,USDC,#.0000,0.01,9999.0,0.0001,#.00,10.0,320000.0,1.0
LTC/USDT,LTC,USDT,#.0000,0.01,9999.0,0.0001,#.00,10.0,320000.0,1.0
